PEAK	MEPB	MEAmC	MEFL	MEPE	MEPTR	MECY	MEPCY7	MEAP	MEAPCY7	
1										
2	179	690	694	526	218	1435		1184		
3	399	1646	2096	1736	737	4725		4024		
4	1004	4354	6078	5023	2198	12977		8892	1638	
5	3326	17957	18080	13251	6082	34975	14859	20919	4233	
6	6281	37196	37488	27327	13048	71893	31337	35336	8022	
7	18182	136964	127549	96553	52447	258366	107224	62371	14092	
8	37446	422643	292408	259881	177983	1120607	519777	160356	27002	
