PEAK	MEPB	MEAmC	MEFL	MEPE	MEPTR	MECY	MEPCY7	MEAP	MEAPCY7	
1										
2	179	700	692	505	207	1437		578		
3	400	1705	2192	1777	750	4693		2433	718	
4	993	4262	6028	4974	2198	12901		6720	1920	
5	3203	17546	17493	13118	6063	36837		17962	5133	
6	6083	35669	35674	26757	12887	76621	32907	30866	9324	
7	17777	133387	126907	94930	51686	261671	107787	51704	14210	
8	36331	412089	290983	250470	170219	1069858	503797	146080	26735	
