PEAK	MEPB	MEAmC	MEFL	MEPE	MEPTR	MECY	MEPCY7	MEAP	MEAPCY7	
1										
2	216	861	792	531	233	1614		373		
3	464	1997	2079	1504	669	4035		1079		
4	1232	5776	6588	4819	2179	12025		3633		
5	2940	15233	16471	12506	5929	31896	14916	9896	2864	
6	7669	45389	47497	36159	18219	95682	42336	28189	7644	
7	19812	152562	137049	109588	63944	353225	153840	79831	19081	
8	35474	396759	271647	250892	188785	1077421	494263	151008	37258	
